pos.result.20,pos.result.138,pos.result.189,pos.result.337,pos.result.399,pos.result.521,pos.result.641,pos.result.699,pos.result.755,pos.result.768,pos.result.844,pos.result.908,pos.result.923,pos.result.969,pos.result.1166,pos.result.1255,pos.result.1293,pos.result.1343,pos.result.1350,pos.result.1375,pos.result.1547,pos.result.1572,pos.result.1664,pos.result.1704,pos.result.1749,pos.result.1998,pos.result.2294,pos.result.2303,pos.result.2310,pos.result.2392,pos.result.2532,pos.result.2625,pos.result.2642,pos.result.2971,pos.result.3039,pos.result.3130,pos.result.3366,pos.result.3372,pos.result.3418,pos.result.3572,pos.result.3603,pos.result.3732,pos.result.3776,neg.result.5,neg.result.28,neg.result.87,neg.result.184,neg.result.202,neg.result.225,neg.result.277,neg.result.332,neg.result.355,neg.result.377,neg.result.390,neg.result.412,neg.result.512,neg.result.604,neg.result.609,neg.result.631,neg.result.682,neg.result.718,neg.result.795,neg.result.814,neg.result.847,neg.result.871,neg.result.963,neg.result.1096,neg.result.1148,neg.result.1151,neg.result.1242,neg.result.1311,neg.result.1558,neg.result.1645,neg.result.1782,neg.result.1784,neg.result.1792,neg.result.1860,neg.result.1866,neg.result.2075,neg.result.2255,neg.result.2310,neg.result.2352,neg.result.2701,batch,icu
14.83410093,12.06364259,13.70378802,8.720924592,10.60448946,9.494204473,7.885291296,14.88061382,12.14509247,13.28407543,-1.715541334,10.9426436,4.986446221,11.23163037,2.93181124,11.97116549,11.69380844,12.07424107,11.06879081,12.33037366,11.59131142,13.0431899,5.384975598,6.975049738,11.93624836,3.947975049,10.55178565,11.66374245,3.265808278,10.07450542,12.35102694,11.24948091,1.300674234,11.13641828,10.90528796,11.54274542,11.14612472,12.34986881,10.97302058,5.337207186,9.576450582,11.64850741,11.04941342,10.24071139,11.8550499,8.223590732,10.61327637,9.878160026,8.148896866,11.3164935,7.755923261,6.54865463,3.347254382,11.32828576,9.174835479,10.81198833,8.905511943,11.37109191,11.28081038,9.715431674,9.93644624,5.312733135,10.51432691,13.72602478,6.073503476,13.0412871,9.169670388,4.899623127,1.814632203,7.365726353,-1.254305734,6.044984573,11.65979738,9.497394348,2.738641182,8.610711387,7.077412564,-0.102218309,9.972652406,8.340643057,0.378072659,0.184013335,9.837636896,1,1
14.44216354,11.79163991,15.25339751,9.289610234,12.06364259,8.607292178,8.325046766,13.10444672,13.20624618,13.51345323,11.55298636,9.659436676,1.570707419,10.61039525,13.60024415,7.474314878,10.94831026,12.13481473,10.51571422,11.00556529,9.981628188,12.21855554,11.10023379,6.58769816,11.49632623,4.612136095,0.159889871,8.439177643,10.62630498,10.468366,12.2131453,10.89129151,13.90396445,10.22532871,9.311327188,11.15246905,12.50807147,11.44338322,10.34449941,3.078608079,11.30043526,9.457833239,11.20094355,10.35137598,6.265842493,3.212245589,11.12085359,10.47655843,7.868597069,11.13362409,11.68240266,2.822872397,3.4035106,11.00195917,11.23311284,10.56792037,9.902429762,9.01914336,11.44712418,10.38683726,10.20682752,7.104394194,10.33754155,13.49117565,4.205290179,12.98057455,6.482536358,2.051035388,1.675623976,6.027238666,11.61042437,8.596844182,12.24203282,5.113675723,2.275285862,7.077412564,-0.227753264,8.908486183,10.44297029,12.59526644,12.44504292,9.709498427,10.39890674,1,1
16.18449833,14.35199428,13.60024415,9.823537134,11.03875791,10.64867844,12.59110936,15.10809416,12.16741988,14.65512514,9.952996056,10.16912466,8.152787476,10.660349,13.6146197,16.92206959,11.60645136,11.2410178,12.32587778,1.122451317,13.91182071,17.06910699,6.314197644,12.21641988,1.699082739,11.40812105,11.50936083,10.60448946,5.056303821,10.48402373,12.48488054,-1.062674846,2.638120297,-0.834674142,10.15369431,14.82649198,11.71017296,11.37329637,5.608763143,7.083528167,11.78139214,-0.7579377,9.904320977,10.80119799,3.078608079,5.411330277,10.85097039,11.05087641,8.161091252,10.95600902,8.352431946,6.764909261,2.485730744,11.49783227,8.47642787,10.11124829,10.18803445,9.522950198,10.99283622,10.90528796,11.80709648,7.74632897,7.53334932,13.9308354,5.098349299,12.61310346,8.988701975,5.312733135,6.482536358,10.34056357,10.54665963,5.779878301,11.49396604,5.103861561,11.20520954,4.963756689,8.225724168,11.19515493,9.746346475,10.5912173,1.434540876,10.75763317,8.591735254,1,1
13.32784433,11.58019901,14.84936236,10.03143359,13.49117565,8.742013563,8.54802616,13.08440648,11.98324118,13.20404913,11.1823043,10.18142446,6.980911,12.44878124,13.64169764,12.84924506,1.9059132,13.18068871,10.75259509,11.05442238,8.692906814,8.883310273,3.971391767,7.110163432,4.150478206,4.003444839,11.84360941,10.16022277,10.3891805,9.336126806,12.36163081,11.59774565,1.217156896,-0.585092079,10.41785285,13.28868607,11.29017608,10.38376434,11.07447127,4.126418887,8.332997747,10.92424685,10.70273071,10.42762389,1.638991027,2.914364326,11.99548749,10.15369431,7.777237115,11.05590789,12.37572473,4.963756689,4.335067747,9.615254605,9.876307186,10.4346151,9.465624587,8.920028532,10.45493931,9.934591421,10.29673679,5.269395436,10.81833212,13.02126259,3.002110787,12.29467648,6.564475197,7.161065797,5.298614819,8.644640084,10.22297273,-10.14171134,12.51068796,5.002772007,10.90952366,9.145191455,-0.130127721,11.43122595,10.92008486,9.427381938,9.725580221,10.60079526,10.17900329,1,1
15.69422674,12.02302397,14.97103146,8.399826577,13.25015294,-0.560964386,8.233717814,12.64719496,12.21109361,13.65703383,10.43772447,-1.481328282,3.898263592,11.0666696,2.718344577,10.14307215,11.40148418,11.7495238,10.48855736,12.12376796,11.83591868,11.75276093,5.108992851,9.023227593,11.04016714,11.52008971,10.32497197,9.834794187,10.39821146,10.68193057,11.85590782,11.07729899,13.90026427,10.8580949,10.81272238,12.29580798,13.06274689,11.27491437,14.09427079,2.085647396,10.56792037,11.40663028,8.70792671,10.60600286,1.400425861,7.69870221,10.38529988,9.11399149,9.049066716,10.4049751,-0.059562836,0.619400136,8.293356066,11.94997851,12.88130209,7.212132847,9.671959626,8.824985456,11.99918321,10.30940492,10.80406339,5.093295192,9.249686597,14.51770791,4.51528991,12.88646304,9.67605418,5.225779921,6.795777512,5.384975598,9.673000068,7.600991937,10.97023997,-7.36626742,2.455227355,5.574953739,7.399719416,11.51850898,11.20094355,10.78539987,10.12806002,10.33824434,9.66252349,1,1
15.28723176,12.24102228,14.88061382,10.36679952,11.81744981,12.17775503,8.740273695,13.10262596,11.03943741,13.19332374,12.01538893,7.629000711,1.638991027,12.50542785,14.61607502,13.41274239,11.67346811,11.14543939,9.977185051,0.113607822,10.86449057,12.59929664,3.772233635,7.484380282,10.75763317,11.71428364,11.65412405,-1.749009539,10.51875412,10.2944142,11.66374245,11.51694649,13.76642012,-1.361818006,10.32342811,12.91439286,11.42758778,11.25823179,11.28432234,4.651752941,9.894097503,10.16022277,9.72658173,10.44297029,11.8279355,2.959345607,11.40074785,10.00948156,7.74632897,11.49632623,12.70275255,5.170926001,5.405980797,9.830043185,7.892463967,11.18087687,9.710403194,8.125586356,11.40882128,10.7740471,10.17578418,4.093161699,10.74967683,13.953696,7.277860374,13.17641854,7.882937173,6.138244974,4.899623127,7.056766623,10.00322688,10.2487557,11.65659133,4.740792691,2.119292702,5.206287593,7.302242693,11.4668388,10.93840214,10.62996062,0.214407387,11.43878922,9.88475672,1,1
16.70805026,12.72563302,14.75174963,9.275022293,12.54766276,-1.019975391,8.999890278,12.57451643,12.34410618,13.38332467,-1.979251368,-2.152269673,5.135382753,12.28478882,14.04895281,9.985218279,11.88767546,11.10883426,12.02113032,13.22796915,10.30701684,14.96275238,5.195871246,11.05808138,11.15176248,11.52701056,10.26932692,11.02542034,3.103063246,10.2826205,10.30383081,11.77050934,0.761364531,-1.679834436,11.03179528,12.59526644,11.49087264,10.29357099,11.22169289,11.27789009,10.79332113,11.48187347,10.55847312,10.70773719,1.142919794,7.000094434,11.83236866,9.881889986,8.833963974,10.83529885,12.70275255,2.993499973,0.999926203,13.27967473,9.64487257,10.49659786,9.784307042,7.803666006,11.64685021,9.823537134,7.071628837,4.550185291,10.98716686,14.99684346,1.434540876,12.08391596,7.87563017,-11.67372565,6.664755815,7.456562964,10.15290088,5.949145942,11.52399477,4.618948268,2.019146234,7.320930023,6.751521471,11.53803837,10.96315805,10.01718518,0.184013335,11.14758019,8.920028532,1,1
15.99916407,12.46095066,14.61607502,11.16602832,12.77582381,10.66680482,8.378172897,12.67752399,10.64867844,12.56102472,9.460209481,8.456264477,6.950948838,12.17258883,14.19365,13.01371447,2.153051896,11.63549721,9.653166125,12.00011589,11.78734065,12.22898855,4.858546495,11.02608236,10.7969123,-6.042102491,11.07519395,10.05903236,4.174488159,9.850830773,12.07324985,11.468296,1.444805175,9.354934015,9.01782232,12.06364259,10.0103184,0.051221601,9.413932645,8.671245322,10.09744481,11.18013482,9.665658573,9.900591172,11.11020335,3.513298603,10.81833212,10.59779753,-1.939505391,11.92443122,-0.064658334,4.791315394,7.591444103,9.208720507,4.840454175,10.50544343,10.18142446,8.762691879,11.23236746,9.565647318,11.94818632,5.892456842,10.64007214,12.81236099,4.236878801,12.20270474,10.90315723,5.341777287,3.483198442,-9.124707987,9.238492883,1.996109415,12.76953159,6.168203302,2.699127404,6.304875497,7.456562964,11.67589149,10.28963875,8.553196034,0.47536559,11.8402215,9.820782466,1,1
14.85744652,12.28694229,14.44783914,11.52473781,13.98081997,9.314864996,9.407008233,12.79945969,12.09673181,13.40288171,8.824985456,-0.999627883,3.137008357,12.71822706,3.027351607,10.39135626,10.44892256,11.97494644,11.09956016,0.333290302,8.740273695,11.85327914,7.751095091,9.44659868,0.513995732,11.0551831,9.952996056,10.47358687,12.39115349,10.42087987,12.12880849,11.39039509,1.174614307,9.182478647,10.84309525,10.56284834,11.29092463,10.67978985,9.412788425,3.002110787,4.557561101,12.20692079,10.43917113,10.53061084,1.686767343,2.786415397,10.43381572,9.875361396,8.323030631,11.82529267,12.844128,5.029467027,7.172802491,9.54385738,8.979004141,9.435225799,10.09497286,11.57866726,11.67909316,10.26861186,10.08137982,3.568862966,9.710403194,14.18917064,4.881900964,13.14512826,8.384171254,5.034717178,6.47831964,7.53334932,11.00556529,8.624252181,11.88323427,5.469442741,2.767421274,5.451244918,7.548573087,11.55612829,10.85880544,9.013650523,10.11037524,10.77698821,9.899688151,1,1
14.97103146,12.04501843,14.42555303,8.529985476,13.41748303,-0.373271696,8.743544695,12.90557769,11.03031764,13.3347848,9.254422905,6.009627847,-11.67372565,12.41425455,13.48833746,12.48123095,11.21953752,13.43313486,11.40074785,0.371507054,12.19114966,13.27507871,8.025599128,10.42838803,11.27130886,11.18802603,0.22484386,8.838653579,10.75763317,10.23745602,11.44412647,10.95671045,13.94213213,10.23661113,11.11729066,13.56900978,12.04797295,10.73399391,10.51131216,9.916311008,9.313682281,11.14894673,10.36602954,10.00322688,12.65154763,5.040192125,11.47494087,10.7412052,8.156893418,10.57684459,9.023227593,5.374661462,3.444187714,11.51233772,7.839682925,10.79837275,9.420632486,10.38604492,11.45841298,10.37070339,9.858407346,4.980628259,10.75040874,13.30705383,4.068933245,12.68637011,1.996109415,4.88749068,6.972017257,8.175772246,9.44659868,9.918165295,11.75950347,4.991915254,2.506207092,6.55253989,8.211169187,11.14612472,11.1215502,9.198814346,0.47536559,10.68416966,9.898741544,1,1
